chart_label,region,national_rank_of_accepting_candidate
unknown_year_A,North West - Mersey,1287
unknown_year_A,North West - Mersey,1181
unknown_year_A,North West - Mersey,77
unknown_year_A,North West - Mersey,739
unknown_year_A,North West - Mersey,1188
unknown_year_A,North West - Mersey,204
unknown_year_A,North West - Mersey,1136
unknown_year_A,North West - Mersey,1516
unknown_year_A,North West - Mersey,1536
unknown_year_A,North West - Mersey,613
unknown_year_A,North West - Mersey,1577
unknown_year_A,North West - Mersey,1706
unknown_year_A,North West - Mersey,710
unknown_year_A,North West - Mersey,389
unknown_year_A,North West - Mersey,1173
unknown_year_A,North West - Mersey,1784
unknown_year_A,North West - Mersey,1886
unknown_year_A,North West - Mersey,422
unknown_year_A,North West - Mersey,113
unknown_year_A,North West - Mersey,1131
unknown_year_A,North West - Mersey,1787
unknown_year_A,North West - Mersey,561
unknown_year_A,North West - Mersey,1571
unknown_year_A,North West - Mersey,1085
unknown_year_A,North West - Mersey,1462
unknown_year_A,North West - Mersey,1890
unknown_year_A,North West - Mersey,1107
unknown_year_A,North West - Mersey,341
unknown_year_A,North West - Mersey,1825
unknown_year_A,North West - Mersey,471
unknown_year_A,North West - Mersey,1159
unknown_year_A,North West - Mersey,388
unknown_year_A,North West - North West,1745
unknown_year_A,North West - North West,1111
unknown_year_A,North West - North West,1738
unknown_year_A,North West - North West,371
unknown_year_A,North West - North West,653
unknown_year_A,North West - North West,1804
unknown_year_A,North West - North West,766
unknown_year_A,North West - North West,1096
unknown_year_A,North West - North West,1151
unknown_year_A,North West - North West,1587
unknown_year_A,North West - North West,1260
unknown_year_A,North West - North West,216
unknown_year_A,North West - North West,1249
unknown_year_A,North West - North West,792
unknown_year_A,North West - North West,794
unknown_year_A,North West - North West,1082
unknown_year_A,North West - North West,473
unknown_year_A,North West - North West,691
unknown_year_A,North West - North West,1115
unknown_year_A,North West - North West,1742
unknown_year_A,North West - North West,412
unknown_year_A,North West - North West,1184
unknown_year_A,North West - North West,281
unknown_year_A,North West - North West,407
unknown_year_A,North West - North West,217
unknown_year_A,North West - North West,477
unknown_year_A,North West - North West,1014
unknown_year_A,North West - North West,656
unknown_year_A,North West - North West,42
unknown_year_A,North West - North West,1316
unknown_year_A,North West - North West,1247
unknown_year_A,North West - North West,1432
unknown_year_A,North West - North West,1140
unknown_year_A,North West - North West,562
unknown_year_A,North West - North West,1125
unknown_year_A,North West - North West,1843
unknown_year_A,North West - North West,1202
unknown_year_A,North West - North West,1086
unknown_year_A,North West - North West,1347
unknown_year_A,North West - North West,1452
unknown_year_A,North West - North West,445
unknown_year_A,North West - North West,954
unknown_year_A,North West - North West,610
unknown_year_A,North West - North West,1656
unknown_year_A,North West - North West,877
unknown_year_A,North West - North West,402
unknown_year_A,North West - North West,325
unknown_year_A,North West - North West,889
unknown_year_A,North West - North West,965
unknown_year_A,North West - North West,1715
unknown_year_A,North West - North West,917
unknown_year_A,North West - North West,1359
unknown_year_A,North West - North West,716
